process,check,covered_by_G0,sensor,predicted_effect,predicted_below_0.90_on,known,reason
added ink: stroke,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A stroke is a thin long mark; global measures do not move. For this check, stroke leaves the street name tokens readable on both pieces."
added ink: stroke,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,miss,none,false,"A stroke through 999-99-9999 lowers the n-gram similarity, but a single stroke rarely takes it under 0.7214 and rarely lands on the number."
added ink: stroke,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A stroke is a thin long mark; global measures do not move. For this check, stroke does not bias the height-based scale estimate by 1%."
added ink: stroke,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A stroke is a thin long mark; global measures do not move. For this check, stroke does not shrink the registered frame extent."
added ink: stroke,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A stroke is a thin long mark; global measures do not move. For this check, stroke does not change which quarter turn registers best."
added ink: stain,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,miss,A3,true,The known failure: the dark core of an Augraphy Stains blotch on the emptied field adds far more than 54 px at level 128. X2 has no stain.
added ink: stain,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,miss,none,false,"A stain core over a box fills the disc, but the core is dark enough on few pages; the A3 checkbox failure is attributed to shadows, not stains."
added ink: stain,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,miss,none,false,A stain wide enough to leave a component over 342 px inside the 36 px band is rare.
added ink: stain,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A stain is a large diffuse blotch, mostly lighter than level 128 except at its core. For this check, stain leaves the 8 printed digits of the date readable."
added ink: stain,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A stain is a large diffuse blotch, mostly lighter than level 128 except at its core. For this check, stain leaves the street name tokens readable on both pieces."
added ink: stain,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A stain is a large diffuse blotch, mostly lighter than level 128 except at its core. For this check, stain leaves 999-99-9999 readable above 0.7214."
added ink: stain,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A stain is a large diffuse blotch, mostly lighter than level 128 except at its core. For this check, stain does not bias the height-based scale estimate by 1%."
added ink: stain,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A stain is a large diffuse blotch, mostly lighter than level 128 except at its core. For this check, stain does not shrink the registered frame extent."
added ink: stain,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A stain is a large diffuse blotch, mostly lighter than level 128 except at its core. For this check, stain does not change which quarter turn registers best."
added ink: stamp,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,miss,none,true,"Same mechanism as every added ink on a field (reads filled), but neither A3 nor X2 lays a stamp, so nothing is measured."
added ink: stamp,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. No source in this study adds a stamp: the Augraphy augmentation list of the plan has no stamp and the X2 checklist draws none. For this check, stamp puts no dark pixel in a box's central disc that the blank lacks."
added ink: stamp,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,miss,none,false,"A stamp in the band is one large component, read as a signature; not exercised by A3 or X2."
added ink: stamp,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",miss,none,false,A stamp over the date breaks OCR and the 8-digit rule abstains; not exercised.
added ink: stamp,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. No source in this study adds a stamp: the Augraphy augmentation list of the plan has no stamp and the X2 checklist draws none. For this check, stamp leaves the street name tokens readable on both pieces."
added ink: stamp,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. No source in this study adds a stamp: the Augraphy augmentation list of the plan has no stamp and the X2 checklist draws none. For this check, stamp leaves 999-99-9999 readable above 0.7214."
added ink: stamp,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. No source in this study adds a stamp: the Augraphy augmentation list of the plan has no stamp and the X2 checklist draws none. For this check, stamp does not bias the height-based scale estimate by 1%."
added ink: stamp,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. No source in this study adds a stamp: the Augraphy augmentation list of the plan has no stamp and the X2 checklist draws none. For this check, stamp does not shrink the registered frame extent."
added ink: stamp,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. No source in this study adds a stamp: the Augraphy augmentation list of the plan has no stamp and the X2 checklist draws none. For this check, stamp does not change which quarter turn registers best."
added ink: highlight,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"Prediction: a highlight (A3 Markup highlight) and the X2 step 3 light pencil rub stay above grey 128, so the shipped ink sensor does not count them and the emptied field still reads empty; step 3 recall should sit near step 0, well above step 2."
added ink: highlight,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A highlight is translucent: in greyscale it stays lighter than level 128, the level every shipped ink sensor reads at. For this check, highlight puts no dark pixel in a box's central disc that the blank lacks."
added ink: highlight,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A highlight is translucent: in greyscale it stays lighter than level 128, the level every shipped ink sensor reads at. For this check, highlight leaves no added component over 342 px in the band and does not break the synthetic stroke."
added ink: highlight,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A highlight is translucent: in greyscale it stays lighter than level 128, the level every shipped ink sensor reads at. For this check, highlight leaves the 8 printed digits of the date readable."
added ink: highlight,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A highlight is translucent: in greyscale it stays lighter than level 128, the level every shipped ink sensor reads at. For this check, highlight leaves the street name tokens readable on both pieces."
added ink: highlight,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A highlight is translucent: in greyscale it stays lighter than level 128, the level every shipped ink sensor reads at. For this check, highlight leaves 999-99-9999 readable above 0.7214."
added ink: highlight,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A highlight is translucent: in greyscale it stays lighter than level 128, the level every shipped ink sensor reads at. For this check, highlight does not bias the height-based scale estimate by 1%."
added ink: highlight,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A highlight is translucent: in greyscale it stays lighter than level 128, the level every shipped ink sensor reads at. For this check, highlight does not shrink the registered frame extent."
added ink: highlight,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A highlight is translucent: in greyscale it stays lighter than level 128, the level every shipped ink sensor reads at. For this check, highlight does not change which quarter turn registers best."
paper deformation: fold,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,miss,A3,true,"The probe's own fold shape (a dark band across the page) is the known mechanism; where Augraphy's fold shade is darker than 128 over the emptied field, the field reads filled."
paper deformation: fold,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"Augraphy Folding is a local warp with a shade along the fold line; the global registration absorbs everything but the band near the fold. For this check, fold puts no dark pixel in a box's central disc that the blank lacks."
paper deformation: fold,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,miss,none,true,"A horizontal fold shade inside the band would be a long component (published: 0.333 at 4%), but Augraphy's shade is rarely darker than 128 over 342 px of the band."
paper deformation: fold,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"Augraphy Folding is a local warp with a shade along the fold line; the global registration absorbs everything but the band near the fold. For this check, fold leaves the 8 printed digits of the date readable."
paper deformation: fold,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"Augraphy Folding is a local warp with a shade along the fold line; the global registration absorbs everything but the band near the fold. For this check, fold leaves the street name tokens readable on both pieces."
paper deformation: fold,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"Augraphy Folding is a local warp with a shade along the fold line; the global registration absorbs everything but the band near the fold. For this check, fold leaves 999-99-9999 readable above 0.7214."
paper deformation: fold,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"Augraphy Folding is a local warp with a shade along the fold line; the global registration absorbs everything but the band near the fold. For this check, fold does not bias the height-based scale estimate by 1%."
paper deformation: fold,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"Augraphy Folding is a local warp with a shade along the fold line; the global registration absorbs everything but the band near the fold. For this check, fold does not shrink the registered frame extent."
paper deformation: fold,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"Augraphy Folding is a local warp with a shade along the fold line; the global registration absorbs everything but the band near the fold. For this check, fold does not change which quarter turn registers best."
paper deformation: curl,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,miss,X2,false,"Curl leaves local offsets after the global fit. Measured on the blank render alone (geometry, no reading): a 2 px shift brings +2.56% pre-printed line ink into the W-9 name and address fields, a 4 px shift +2.3 to +2.8% into six of the seven I-9 fields, against a 0.345% threshold. The sensor subtracts counts, so line ink that enters the scan's zone and not the blank's reads as filling: the unmarked emptied field reads filled."
paper deformation: curl,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,miss,X2,false,"The W-9 box is 22 px; its outline sits about 11 px from the disc centre and the disc radius is 6.6 px. A local offset of 4 to 5 px puts outline ink in the scan's disc and none in the blank's, so an unticked box reads ticked (+14.4 needs about 20 px of the 137 px disc)."
paper deformation: curl,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,miss,X2,false,"A 4 px offset brings the line under the I-9 signature band into the 898 x 36 px window (+2.78% on the blank). The added mask is positional, so it holds a strip as long as the band: one component with a diagonal far above 342 px, and an unsigned I-9 reads as signed."
paper deformation: curl,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,OCR reads words in a zone widened by 8 px and a stray line yields no digit in most captures.
paper deformation: curl,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 renders a flat page; registration is one global similarity (scale, translation, half turn) after deskew, with no local warp model. For this check, curl leaves the street name tokens readable on both pieces."
paper deformation: curl,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 renders a flat page; registration is one global similarity (scale, translation, half turn) after deskew, with no local warp model. For this check, curl leaves 999-99-9999 readable above 0.7214."
paper deformation: curl,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 renders a flat page; registration is one global similarity (scale, translation, half turn) after deskew, with no local warp model. For this check, curl does not bias the height-based scale estimate by 1%."
paper deformation: curl,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 renders a flat page; registration is one global similarity (scale, translation, half turn) after deskew, with no local warp model. For this check, curl does not shrink the registered frame extent."
paper deformation: curl,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 renders a flat page; registration is one global similarity (scale, translation, half turn) after deskew, with no local warp model. For this check, curl does not change which quarter turn registers best."
paper deformation: crease,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,miss,none,true,"A dark crease line across an emptied field reads as filling (the known mechanism), but no source beyond Folding makes one."
paper deformation: crease,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"The X2 sheets are never folded, and A3 creases come only from Folding (see the fold row). For this check, crease puts no dark pixel in a box's central disc that the blank lacks."
paper deformation: crease,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"The X2 sheets are never folded, and A3 creases come only from Folding (see the fold row). For this check, crease leaves no added component over 342 px in the band and does not break the synthetic stroke."
paper deformation: crease,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"The X2 sheets are never folded, and A3 creases come only from Folding (see the fold row). For this check, crease leaves the 8 printed digits of the date readable."
paper deformation: crease,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"The X2 sheets are never folded, and A3 creases come only from Folding (see the fold row). For this check, crease leaves the street name tokens readable on both pieces."
paper deformation: crease,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"The X2 sheets are never folded, and A3 creases come only from Folding (see the fold row). For this check, crease leaves 999-99-9999 readable above 0.7214."
paper deformation: crease,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"The X2 sheets are never folded, and A3 creases come only from Folding (see the fold row). For this check, crease does not bias the height-based scale estimate by 1%."
paper deformation: crease,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"The X2 sheets are never folded, and A3 creases come only from Folding (see the fold row). For this check, crease does not shrink the registered frame extent."
paper deformation: crease,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"The X2 sheets are never folded, and A3 creases come only from Folding (see the fold row). For this check, crease does not change which quarter turn registers best."
illumination: shadow,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,miss,A3,true,"Where Augraphy's ShadowCast is darker than 128 over the emptied field, the ink sensor counts it as filling: the same mechanism as added ink, excluded from H6."
illumination: shadow,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,miss,A3,false,"A cast shadow darker than 128 over a 22 px box fills the 6.6 px disc of the scan and not of the blank, so an unticked box reads ticked. ShadowCast covers a large polygon from a page edge, and the four boxes sit at different places, so over A3 enough unticked boxes fall under it to pull pooled recall under 0.90."
illumination: shadow,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,miss,A3,false,"A shadow edge crossing the band leaves a large added region at level 128, one component with a diagonal above 342 px: an unsigned I-9 reads as signed."
illumination: shadow,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,A shadow lowers contrast but Tesseract still reads dark digits on a grey ground at 150 to 300 dpi.
illumination: shadow,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 has uniform white paper. X2: Apple Notes' document mode evens out illumination before the file is saved, so X2 is predicted unaffected. For this check, shadow leaves the street name tokens readable on both pieces."
illumination: shadow,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 has uniform white paper. X2: Apple Notes' document mode evens out illumination before the file is saved, so X2 is predicted unaffected. For this check, shadow leaves 999-99-9999 readable above 0.7214."
illumination: shadow,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 has uniform white paper. X2: Apple Notes' document mode evens out illumination before the file is saved, so X2 is predicted unaffected. For this check, shadow does not bias the height-based scale estimate by 1%."
illumination: shadow,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 has uniform white paper. X2: Apple Notes' document mode evens out illumination before the file is saved, so X2 is predicted unaffected. For this check, shadow does not shrink the registered frame extent."
illumination: shadow,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 has uniform white paper. X2: Apple Notes' document mode evens out illumination before the file is saved, so X2 is predicted unaffected. For this check, shadow does not change which quarter turn registers best."
illumination: uneven light,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"A brightness gradient (Augraphy's lighting augmentations if the default pipeline draws one; phone light fall-off in X2, flattened by Notes) stays above grey 128 almost everywhere, and every ink sensor is differential at level 128. For this check, uneven light adds or moves no dark pixel inside an emptied field relative to the blank."
illumination: uneven light,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"A brightness gradient (Augraphy's lighting augmentations if the default pipeline draws one; phone light fall-off in X2, flattened by Notes) stays above grey 128 almost everywhere, and every ink sensor is differential at level 128. For this check, uneven light puts no dark pixel in a box's central disc that the blank lacks."
illumination: uneven light,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"A brightness gradient (Augraphy's lighting augmentations if the default pipeline draws one; phone light fall-off in X2, flattened by Notes) stays above grey 128 almost everywhere, and every ink sensor is differential at level 128. For this check, uneven light leaves no added component over 342 px in the band and does not break the synthetic stroke."
illumination: uneven light,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"A brightness gradient (Augraphy's lighting augmentations if the default pipeline draws one; phone light fall-off in X2, flattened by Notes) stays above grey 128 almost everywhere, and every ink sensor is differential at level 128. For this check, uneven light leaves the 8 printed digits of the date readable."
illumination: uneven light,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"A brightness gradient (Augraphy's lighting augmentations if the default pipeline draws one; phone light fall-off in X2, flattened by Notes) stays above grey 128 almost everywhere, and every ink sensor is differential at level 128. For this check, uneven light leaves the street name tokens readable on both pieces."
illumination: uneven light,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"A brightness gradient (Augraphy's lighting augmentations if the default pipeline draws one; phone light fall-off in X2, flattened by Notes) stays above grey 128 almost everywhere, and every ink sensor is differential at level 128. For this check, uneven light leaves 999-99-9999 readable above 0.7214."
illumination: uneven light,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"A brightness gradient (Augraphy's lighting augmentations if the default pipeline draws one; phone light fall-off in X2, flattened by Notes) stays above grey 128 almost everywhere, and every ink sensor is differential at level 128. For this check, uneven light does not bias the height-based scale estimate by 1%."
illumination: uneven light,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"A brightness gradient (Augraphy's lighting augmentations if the default pipeline draws one; phone light fall-off in X2, flattened by Notes) stays above grey 128 almost everywhere, and every ink sensor is differential at level 128. For this check, uneven light does not shrink the registered frame extent."
illumination: uneven light,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"A brightness gradient (Augraphy's lighting augmentations if the default pipeline draws one; phone light fall-off in X2, flattened by Notes) stays above grey 128 almost everywhere, and every ink sensor is differential at level 128. For this check, uneven light does not change which quarter turn registers best."
optics: defocus,required_field,partly,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"G0 applies a fixed Gaussian blur of radius 0.4 px and never varies it. X2 is captured in focus by the phone's autofocus; the Augraphy list of the plan adds no defocus. For this check, defocus adds or moves no dark pixel inside an emptied field relative to the blank."
optics: defocus,required_checkbox,partly,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"G0 applies a fixed Gaussian blur of radius 0.4 px and never varies it. X2 is captured in focus by the phone's autofocus; the Augraphy list of the plan adds no defocus. For this check, defocus puts no dark pixel in a box's central disc that the blank lacks."
optics: defocus,signature,partly,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"G0 applies a fixed Gaussian blur of radius 0.4 px and never varies it. X2 is captured in focus by the phone's autofocus; the Augraphy list of the plan adds no defocus. For this check, defocus leaves no added component over 342 px in the band and does not break the synthetic stroke."
optics: defocus,expiry,partly,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"G0 applies a fixed Gaussian blur of radius 0.4 px and never varies it. X2 is captured in focus by the phone's autofocus; the Augraphy list of the plan adds no defocus. For this check, defocus leaves the 8 printed digits of the date readable."
optics: defocus,consistency,partly,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 applies a fixed Gaussian blur of radius 0.4 px and never varies it. X2 is captured in focus by the phone's autofocus; the Augraphy list of the plan adds no defocus. For this check, defocus leaves the street name tokens readable on both pieces."
